group	team	FIFA	lat	lon
A	Ecuador	44	-1.091568549	-78.53154743
A	Netherlands	8	52.32611682	4.838130415
A	Qatar	50	25.25671831	51.54033367
A	Senegal	18	14.74464949	-17.256359
B	England	5	51.5090795	-0.1289251815
B	Iran	20	35.69954603	51.33784695
B	USA	16	38.89805834	-77.0366183
B	Wales	19	51.48289125	-3.181089626
C	Argentina	3	-34.60439181	-58.3695361
C	Mexico	13	19.44750547	-99.12443938
C	Poland	26	52.25194537	21.03506683
C	Saudi Arabia	51	24.57686495	46.71520597
D	Australia	38	-35.28207505	149.1288131
D	Denmark	10	55.67976539	12.56875928
D	France	4	48.86109226	2.295877544
D	Tunisia	30	36.80004641	10.16952687
E	Costa Rica	31	9.935983899	-84.10660954
E	Germany	11	52.5307456	13.36701899
E	Japan	24	35.66522662	139.7462079
E	Spain	7	40.42480278	-3.678860789
F	Belgium	2	50.8422929	4.363007728
F	Canada	41	45.42148717	-75.68999786
F	Croatia	12	45.81241551	15.9733206
F	Morocco	22	33.98554621	-6.842403769
G	Brazil	1	-15.79371688	-47.87693018
G	Cameroon	43	3.861583954	11.51569836
G	Serbia	21	44.79974246	20.47006475
G	Switzerland	15	47.36806706	8.543956155
H	Ghana	61	5.605358838	-0.1684471456
H	Portugal	9	38.7169065	-9.139333046
H	South Korea	28	37.55128608	126.9882206
H	Uruguay	14	-34.89491254	-56.1562271
